model_id,sample_name,outcome,model_stage,model_purpose,requested_model_status,mandatory_controls,suggested_predictors,predictors_used,n_predictors_used,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,public_n_outcome_yes,public_n_outcome_no,weighted_total,weighted_outcome_yes,weighted_pct_yes,fit_status,skip_reason,warning_messages,n_parameters,residual_df,null_deviance,residual_deviance,dispersion
strict_grade_10_12_age_15_19__a_H1FP7_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1FP7_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13,a_age_wave1; a_grade_wave1; num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13,1,855,855,143,712,143,712,2669944.64048065,434165.491957843,16.261217007094327,fitted,,,18,837,759.1992665125242,630.6096432511872,1.0569202118731311
strict_grade_10_12_age_15_19__a_H1FP7_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1FP7_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,877,877,158,719,158,719,2752280.473438453,489272.227021404,17.776975556933376,fitted,,,8,869,820.8628038350162,779.8197880968312,1.011154213987084
strict_grade_10_12_age_15_19__a_H1FP7_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1FP7_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1FP7_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1FP7_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13; num_H1PR8; num_H1WP1; num_H1MO11; num_H1BC1; num_H1GI1Y; num_H1RP5; num_H1MO14,a_age_wave1; a_grade_wave1; num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13; num_H1PR8; num_H1WP1; num_H1MO11; num_H1BC1; num_H1GI1Y; num_H1RP5; num_H1MO14,1,811,811,128,683,128,683,2525574.417518565,379969.442014303,15.044872143883676,fitted,,,45,766,686.8953487707919,521.8824910288354,1.015153231697511
strict_grade_10_12_age_15_19__a_H1HS9_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1HS9_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,3237,3237,229,3008,229,3008,10342251.785029354,686968.901550983,6.642353288530319,fitted,,,4,3233,1581.519911511522,1535.2198418834291,1.0039148725422073
strict_grade_10_12_age_15_19__a_H1HS9_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1HS9_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP8; num_H1WP14; num_H1WP13; num_H1PR8; num_H1PR5,a_age_wave1; a_grade_wave1; num_H1WP8; num_H1WP14; num_H1WP13; num_H1PR8; num_H1PR5,1,2282,2282,125,2157,125,2157,7483810.049555595,385286.549088507,5.148267346942967,fitted,,,28,2254,925.8437212726033,823.7995833902617,1.04943743460434
strict_grade_10_12_age_15_19__a_H1HS9_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1HS9_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1ED19; num_H1ED24; num_H1ED20; num_H1PR2; num_H1ED23,a_age_wave1; a_grade_wave1; num_H1ED19; num_H1ED24; num_H1ED20; num_H1PR2; num_H1ED23,1,3228,3228,229,2999,229,2999,10307365.740629269,686968.901550983,6.664834826255454,fitted,,,25,3203,1580.9561311109755,1456.0714011777802,0.9877536745962642
strict_grade_10_12_age_15_19__a_H1HS9_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1HS9_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1PA7; num_H1MO9; num_H1MO10; num_H1GH46,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1PA7; num_H1MO9; num_H1MO10; num_H1GH46,1,3153,3153,218,2935,218,2935,10023810.90996591,651832.327774941,6.5028394253414525,fitted,,glm.fit: algorithm did not converge,18,3135,1517.127739489906,1.7397809437181646e-8,6.792734920257146e-13
strict_grade_10_12_age_15_19__a_H1HS9_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1HS9_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF9,a_age_wave1; a_grade_wave1; num_H1PF9,1,3128,3128,223,2905,223,2905,9955198.507900713,669835.935913869,6.728504061292893,fitted,,,8,3120,1542.4723978453721,1484.8521112762821,0.9967640286750286
strict_grade_10_12_age_15_19__a_H1HS9_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1HS9_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1HS9_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1HS9_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1PA7; num_H1ED19; num_H1MO9; num_H1MO10; num_H1WP8; num_H1GI1Y; num_H1GH46; num_H1WP14; num_H1ED24; num_H1WP13; num_H1GI20,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1PA7; num_H1ED19; num_H1MO9; num_H1MO10; num_H1WP8; num_H1GI1Y; num_H1GH46; num_H1WP14; num_H1ED24; num_H1WP13; num_H1GI20,1,2243,2243,120,2123,120,2123,7336349.390626708,368041.178063927,5.016680074345356,fitted,,glm.fit: algorithm did not converge,46,2197,892.7412990881229,1.2407772212950647e-8,5.350533132092431e-13
strict_grade_10_12_age_15_19__a_sex_ever__M0_core_controls,strict_grade_10_12_age_15_19,a_sex_ever,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,3208,3208,1755,1453,1755,1453,10217739.050749665,5579417.73319071,54.60520870105166,fitted,,,4,3204,4419.979664566655,4273.778880484818,1.0003916101093775
strict_grade_10_12_age_15_19__a_sex_ever__M1_family_context,strict_grade_10_12_age_15_19,a_sex_ever,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP8; num_H1WP13; num_H1PR7; num_H1PR5; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1WP8; num_H1WP13; num_H1PR7; num_H1PR5; num_H1PR8,1,2265,2265,1108,1157,1108,1157,7417876.168336346,3606865.162400895,48.62396028929436,fitted,,,29,2236,3138.241013651006,2864.5880846326368,0.9996573588122298
strict_grade_10_12_age_15_19__a_sex_ever__M2_school_context,strict_grade_10_12_age_15_19,a_sex_ever,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1ED23; num_H1PR2; num_H1ED20; num_H1ED24; num_H1ED19,a_age_wave1; a_grade_wave1; num_H1ED23; num_H1PR2; num_H1ED20; num_H1ED24; num_H1ED19,1,3204,3204,1752,1452,1752,1452,10205570.204374736,5572594.359219752,54.603459166161976,fitted,,,25,3179,4414.489174351224,4082.9368661267217,0.9970232133012572
strict_grade_10_12_age_15_19__a_sex_ever__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_sex_ever,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9,a_age_wave1; a_grade_wave1; num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9,1,2939,2939,1574,1365,1574,1365,9306430.61860309,4976073.803808619,53.46919788841166,fitted,,,24,2915,4060.159014457088,3205.2312031614647,1.0029399933883205
strict_grade_10_12_age_15_19__a_sex_ever__M4_peers_relationships,strict_grade_10_12_age_15_19,a_sex_ever,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12; num_H1PF9; num_H1PF17,a_age_wave1; a_grade_wave1; num_H1PF12; num_H1PF9; num_H1PF17,1,3058,3058,1690,1368,1690,1368,9738088.96723253,5369328.729867458,55.137396546022416,fitted,,,16,3042,4206.9473852204565,3938.923400515013,0.99896125947258
strict_grade_10_12_age_15_19__a_sex_ever__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_sex_ever,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_sex_ever__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_sex_ever,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9; num_H1MO2; num_H1HS9; num_H1GH46; num_H1BC6; num_H1WP8; num_H1PA7; num_H1GI1Y,a_age_wave1; a_grade_wave1; num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9; num_H1MO2; num_H1HS9; num_H1GH46; num_H1BC6; num_H1WP8; num_H1PA7; num_H1GI1Y,1,2881,2881,1554,1327,1554,1327,9133706.27965414,4914893.962046379,53.81051034008605,fitted,,,50,2831,3977.1649838833396,2941.2780216963824,1.0482661707726024
